#Date(dd/mm/yyyy) Time(hh:mm:ss) Temperature(C)
02/05/2021 23:42:56 20.125
02/05/2021 23:43:18 20.187
02/05/2021 23:50:00 20.437
02/05/2021 23:51:00 20.5
02/05/2021 23:52:00 20.5
02/05/2021 23:53:00 21.937
02/05/2021 23:54:00 24.625
02/05/2021 23:55:00 26.687
02/05/2021 23:56:00 28.062
02/05/2021 23:57:00 28.25
02/05/2021 23:58:00 28.687
02/05/2021 23:59:00 29.062
03/05/2021 00:00:00 29.125
03/05/2021 00:01:00 29.25
03/05/2021 00:02:00 29.125
03/05/2021 00:03:00 28.937
03/05/2021 00:04:00 28.812
